ja3,ja3_desc
dea05e8c68dfeb28003f21d22efc0aba,Chrome (tested: Version 46.0.2490.86 (64-bit) - OS X)
62351d5ea3cd4f21f697965b10a9bbbe,Chrome 10
62351d5ea3cd4f21f697965b10a9bbbe,Chrome 10.0.648.82 (Chromium Portable 9.0)
a9da823fe77cd3df081644249edbf395,Chrome 11 - 18
a9da823fe77cd3df081644249edbf395,Chrome 11.0.696.16 - 18.0.1025.33  Chrome 11.0.696.16 (Chromium Portable 9.2)
df4a50323dfcaf1789f72e4946a7be44,Chrome 19 - 20
df4a50323dfcaf1789f72e4946a7be44,Chrome 19.0.1084.15 - 20.0.1132.57
df4a50323dfcaf1789f72e4946a7be44,Chrome 21.0.1180.89
3c8cb61208e191af38b1fbef4eacd502,Chrome 22.0.1201.0
df4a50323dfcaf1789f72e4946a7be44,Chrome 22.0.1229.96 - 23.0.1271.64 Safari/537.11
1ef061c02d85b7e2654e11a9959096f4,Chrome 24.0.1312.57 - 28.0.1500.72 Safari/537.36
89d37026246d4888e78e69af4f8d1147,Chrome 26.0.1410.43-27.0.1453.110 Safari/537.31
206ee819879457f7536d2614695a5029,Chrome 29.0.1547.0
bbc3992faa92affc0d835717ea557e99,Chrome 29.0.1547.62
76d36fc79db002baa1b5e741fcd863bb,Chrome 29.0.1547.62
dc3eaee99a9221345698f8a8b2f4fc3f,Chrome 30.0.0.0
53c7ed581cbaf36951559878fcec4559,Chrome 30.0.1599.101
fb8a6d2441ee9eaee8b560d48a8f59df,Chrome 31.0.1650.57 & 32.0.1700.76 Safari/537.36
f7c4dc1d9595c27369a183a5df9f7b52,Chrome 31.0.1650.63
16d7ebc398d772ef9969d2ed2a15f4c0,Chrome 33.0.1750.117
f3136cf565acf70dd2f98ca652f43780,Chrome 33.0.1750.117
af0ae1083ab10ac957e394c2e7ec4634,Chrome 33.0.1750.154
ef3364da4d76c98a669cb828f2e5283a,Chrome 34.0.1847.116 & 35.0.1916.114 Safari/537.36
4807d61f519249470ebed0b633e707cf,Chrome 34.0.1847.116 & 35.0.1916.114 Safari/537.36
5b348680dec77f585cfe82513213ac3a,Chrome 36.0.1985.125 & 37.0.2062.102 Safari/537.36
52be6e88840d2211a243d9356550c4a5,Chrome 36.0.1985.125 - 40.0.2214.93 Safari/537.36
5f775bbfc50459e900d464ca1cecd136,Chrome 37.0.0.0 Safari & Mobile Safari/537.36
a167568462b993d5787488ece82a439a,Chrome 37.0.0.0
98652faa7e0a4d85f91e37aa6b8c0135,Chrome 37.0.2062.120
8b8322bad90e8bfbd66e664839b7a037,Chrome 41.0.2272.89
aa9074aa1ff31c65d01c35b9764762b6,Chrome 42.0.2311.135
de0963bc1f3a0f70096232b272774025,Chrome 42.0.2311.135
3bb36ec17fef5d3da04ceeb6287314c6,Chrome 43.0.2357.132 & 45.02454.94
cd3f72760dfd5575b91213a8016c596b,Chrome 48.0.2564.116
5406c4a87aa6cbcb7fc469fee526a206,Chrome 48.0.2564.97
503fe06db7ef09b2cbd771c4e784c686,Chrome 49.0.2623.75
bd4267e1672f9df843ada7c963490a0d,Chrome 50.0.2661.102 1
caeb3b546fc7469776d51f1f54a792ca,Chrome 50.0.2661.102 2
aa84deda2a937ad225ef94161887b0cb,Chrome 51.0.2704.106 (test)
473e8bad0e8e1572197be80faa1795c3,Chrome 51.0.2704.84 1
e0b0e6c934c686fd18a5727648b3ed4f,Chrome 51.0.2704.84 2
7ddfe8d6f8b51a90d10ab3fe2587c581,Chrome 51.0.2704.84 3
bc76a4185cc9bd4c72471620e552618c,Chrome 51.0.2704.84 4
8e3eea71cb5a932031d90cc0fba581bc,Chrome 51.0.2704.84 5
653924bcb1d6fd09a048a4978574e2c5,Chrome 51.0.2704.84 6
1ef652ecfb8e60e771a4710166afc262,Chrome 51.0.2704.84 7
cafd1f84716def1a414c688943b99faf,Chrome WebSockets (48.xxxx) - also TextSecure Desktop
62d8823f52dd8e1ba75a9a83e8748313,Chrome WebSockets (48.xxxx)
3c8cb61208e191af38b1fbef4eacd502,Chrome/22.0.1229.96
c405bbbe31c0e53ac4c8448355b2af5b,Chrome/30.0.1599.101
2c3221f495d5e4debbb34935e1717703,Chrome/41.0.2272.89
7f340e6caa1fa4c979df919227160ff6,Cisco AnyConnect Secure Mobility Client (3.1.09013)
203157ed9f587f0cfd265061bf309823,Citrix Receiver 4.4.0.8014
f865de0807a17e9cb797e618162356db,Customised Postfix - Damnit Matt
653d342bee5001569662198a672746af,DropBox (tested: 3.12.5 - Ubuntu 14.04TS & Win 10)
482a11a20da1629b77aaadf640478d13,Dropbox (Win 8.1)
ede63467191e9a12300e252c41ca9004,Dropbox (installer?)
2f8363419a9fb80ad46b380778d8eaf1,Dropbox Setup (tested: 3.10.11 on Win 8.x)
c1e8322501b4d56d484b50bd7273e798,Dropbox Splash Pages (Win 10)
6c141f98cd79d8b505123e555c1c3119,Dropbox Windows
36bc8c7e10647bbfea3f740e7f05c0f1,Dropbox
576a1288426703ae0008c42f95499690,Facebook iOS
2872afed8370401ec6fe92acb53e5301,FireFox 40.0.3 (tested Windows 8)
1996e434b11323df4e87f8fe0e702209,FireFox 49 (TLSv1.3 enabled - I think websockets)
8ed0a2cdcad81fc29313910eb94941d8,FireFox 49 (TLSv1.3 enabled)
f586111542f330901d9a3885a9c821b5,FireFox 49 (dev edition)
3d99dda4f6992b35fdb16d7ce1b6ccba,Firefox 24.0 Iceweasel24.3.0
c57914fadb301a73e712378023b4b177,Firefox 25.0
755cdaa3496eb8728247a639dee17aad,Firefox 26.0
ff9223b5c9a5d44a8a423833751fa158,Firefox 27.0
df9bedd5713fe0cc2e9184d7c16a5913,Firefox 3.0.19
4a9bd55341e1ffe6fedb06ad4d3010a0,Firefox 3.5 - 3.6
4a9bd55341e1ffe6fedb06ad4d3010a0,Firefox 3.5.19  3.6.27  SeaMonkey 2.0.14
46129449560e5731dc9c5106f111a3db,Firefox 46.0
d06b3234356cb3df0983fc8dd02ece68,Firefox 46.0
05ece02fb23acf2efbfff54ce4099a45,Firefox 47.0 2
aa907c2c4720b6f54cd8b67a14cef0a3,Firefox 47.x 1 / FireFox 47.x (Windows 7SP1)
8b18c5b0c54cba1ffb2438fe24792b63,Firefox 49.0a2 Developer TLS 1.3 enabled
55f2bd38d462d74fb6bb72d3630aae16,Firefox/10.0.11esrpre Iceape/2.7.12
85c420ab089dac5025034444789a8fb5,Firefox/13.0-25.0
e98db583389531a37f2fe8d251f0f7ae,Firefox/25.0
755cdaa3496eb8728247a639dee17aad,Firefox/26.0
cc9bcf019b339c01d200515d1cb39092,Firefox/27.0-32.0
45d22e6403f053bfb2cc223755588533,Firefox/28.0-30.0
8df37d4e7430e2d9a291ae9ee500a1a9,Firefox/32.0
c5392af25feaf95cfefe858abd01c86b,Firefox/33.0
5ba6ed04b246c96c6839e0268a8b826f,Firefox/33.0
ab834ac5135f2204d473878821979cea,Firefox/34.0-35.00
9250f97ba65d86e7b0e60164c820d91a,Firefox/34.0-35.00
2872afed8370401ec6fe92acb53e5301,Firefox/37.0
514058a66606ae870bcc670e95ca7e68,Firefox/37.0
2aef69b4ba1938c3a400de4188743185,Firefox/6.0.1 - 12.0
ca0f3f4c08cbd372720beb1af7d2721f,Firefox/52
504ecb2d3e5e83a179316f098dadbaeb,Flux
a6090977601dc1345948f101e46d5759,FullTilt Poker v16.5 (OS X) #1
f1b9f86645cb839bd6992e848d943898,FullTilt Poker v16.5 (OS X) or DropBox
a3b2fe29619fdcb7a9422b8fddb37a67,GMail SMTP Relay
94b94048a438e77122fc4eee3a6a4a26,GNU Wget 1.16.1 built on darwin14.0.0
0267b752d6a8b5fd195096b41ea5839c,GNUTLS Commandline
d0df7f7c9ca173059b2cd17ce5c2e5cc,Git-Bash (Tested v2.6.0) / curl 7.47.1 (cygwin)
f8c50bbee59c526ca66da05f3dc4b735,GitHub Desktop (tested build 216 on OSX)
c5cbafbbcf53dfbfc2a803ca3833fce2,Glympse Location Tracking??
07ef3a7f5f8ffef08affb186284f2af4,Google Calendar Agent (Tested on OSX)
abe568de919448adcd756aea9a136aea,Google Chrome (43.0.2357.130 64-bit OSX)
400961c8161ba7661a7029d3f7e8bb95,Google Chrome (Android)
072c0469aa4f2f597bb38bcc17095c51,Google Chrome (tested: 43.0.2357.130 64-bit OSX)
c40b51e2a59425b6a2b500d569962a60,Google Chrome (tested: 43.0.2357.130 64-bit OSX)
696cd0c8c241e19e3d6336c3d3d9e2e0,Google Chrome (tested: 43.0.2357.130 64-bit OSX)
e8aabc4fe1fc8d47c648d37b2df7485f,Google Chrome 45.0.2454.101
514058a66606ae870bcc670e95ca7e68,Google Chrome 45.0.2454.85 or FireFox 41-42
7ea3e17d09294aee8425ae05588f0c66,Google Chrome 46.0.2490.71 m
a9030ea4837810ce89fb8a3d39ca12ed,Google Chrome 46.0.2490.71
c1741dd3d2eec548df0bcd89e08fa431,Google Drive (tested: 1.26.0707.2863 - Win 8.x & Win 10)
b16614e71d26ba348c94bfc8e33b1767,Google Earth Linux 7.1.4.1529
9af622c65a17a0bf90d6e9504be96a43,Google Mail server starttls connection
50dfee94717e9640b1c384e5bd78e61e,GoogleBot
e76ac6872939f6ebfdf75f1ea73b4daf,Great Firewall of China Probe (via pcaps from https://nymity.ch/active-probing/)
d9b07b9095590f4ff910ceee7b6af88a,HipChat
78273d33877a36c0c30e3fb7578ee9e7,IE 11
4cafc7a0acf83a49317ca199b2f25c82,IE 11
cc9bcf019b339c01d200515d1cb39092,IceWeasel 31.8.0
a61299f9b501adcf680b9275d79d4ac6,In all the malware samples - Java updater perhaps
a6776199188c09f5124b46b895772fa2,Internet Explorer 11 .0.9600.1731.(Win 8.1)
a264c0bb146b2fade4410bcd61744b69,Internet Explorer 11.0.9600.17959
d54b3eb800cbeccf99fd5d5cdcd7b5b5,Internet Explorer 11.0.9600.18349 / TeamViewer 10.0.47484P / Notepad++ Update Check / Softperfect Network Scanner Update Check / Wireshark 2.0.4 Update Check
2db6873021f2a95daa7de0d93a1d1bf2,Java 8U91 Update Check
ced7418dee422dd70d2a6f42bb042432,K9 Mail (Android)
8194818a46f5533268472f2167ffec70,Konqueror 4.14.18 (openSUSE Leap 42.1) 2
78253eb48a1431a4bbbe6bb4358464ac,Konqueror 4.14.18 / Kmail 4.14.18 (openSUSE Leap 42.1) 1
0e0b798d0208ad365eec733b29da92a6,Konqueror 4.8
8d2e46c9e2b1ee9b1503cab4905cb3e0,MS Edge
f66b0314f269695fe3528ef39a27c158,MS Office Components
2201d8e006f8f005a6b415f61e677532,MSIE 10.0 Trident/6.0
7b3b37883b5e80065b35f27888ed2b04,MSIE 10.0 Trident/6.0)
2baf01616e930d378df97576e2686df3,MSIE 8.0 & 9.0 Trident/5.0)
0cbbafcdaf63cbf1e490c4a2d903f24b,Mail app iOS
67f762b0ffe3aad00dfdb0e4b1acd8b5,Malware: Dridex
a34e8a810b5f390fc7aa5ed711fa6993,Malware: Gootkit
c6e36d272db78ba559429e3d845606d1,Malware: Gootkit
b50f81ae37fb467713e167137cf14540,Malware: TBot / Skynet Tor Botnet
b9103d9d134e0c59cafbe4ae0a8299a8,Malware: Unknown traffic associated with Dridex
84a315236aceb31ad56f5647dc64f793,Malware: https://www.virustotal.com/en/file/802d683b596d7ce7ae373b15fa4a8e8c2a237bd15bc8ef655fbd2c41239fa2c8/analysis/1433178940/
73fab4ba757fdd5aac4729eb20f07c04,Malware: https://www.virustotal.com/file/07853289247c4c932ddfbf4c215b4e86240fab6661a6d6a85ac8ee37fe92b9be/analysis/1433596684/o
4954bf2b5e6592b390a89d3b1dbe550a,Malware: https://www.virustotal.com/file/bbb3fbd2e8289d04733f8f005dc6410b050bee193a12ddf2f819141834e9c8fa/analysis/1433054369/
45c2897e06c4979bd3b8e512523590d7,Malware: https://www.virustotal.com/file/bbb3fbd2e8289d04733f8f005dc6410b050bee193a12ddf2f819141834e9c8fa/analysis/1433054369/o
fc5574de96793b73355ca9e555748225,Marble (KDE 5.21.0 QT 5.5.1 openSUSE Leap 42.1)
cfaa6f79904b33fdca83dbb5d4b537d4,May Be Superfish
1b5a75e6d0f679aa312edb060ea8d932,May Be Superfish
16f17c896273d1d098314a02e87dd4cb,Metaploit http scanner (tested: 4.11.5 Kali)
950ccdd64d360a7b24c70678ac116a44,Metasploit CCS Scanner
ee031b874122d97ab269e0d8740be31a,Metasploit HeartBleed Scanner
6825b330bf9de50ccc8745553cb61b2f,Metasploit SSL Scanner
bff2c7b5c666331bfe9afacefd1bdb51,Microsoft Updater (Windows 7SP1) / TeamViewer 11.0.56083P
48cf5fb702315efbfc88ee3c8c94c6cb,Microsoft Windows Socket (Tested: Windows 10)
d65ddade944f9acfe4052b2c9435eb85,Mozilla Sync Services (Android)
c2116e5bb14394aafbefe12ade9bd8ab,Mozilla Thunderbird (tested: 31.5.0)
6fd163150b060dd7d07add280f42f4ed,Mozilla Thunderbird (tested: 38.3.0)
de350869b8c85de67a350c8d186f11e6,Mozilla/4.0 (compatible; MSIE 6.0 or MSIE 7.0; Windows NT 5.2; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022)
4025f224557638ee81afc4f272fd7577,NVIDEA GeForce Experience
146c6a6537ba4cc22d874bf8ff346144,NetFlix App on AppleTV (possibly others also)
f4262963691a8f123d4434c7308ad7fe,Nikto (tested 2.1.6 - Kali)
5eeeafdbc41e5ca7b81c92dbefa03ab7,Nikto (tested 2.1.6 - Kali)
a563bb123396e545f5704a9a2d16bcb0,Nikto (tested v2.1.6)
1d095e68489d3c535297cd8dffb06cb9,Non-Specific Microsoft Socket
43bb6a18756587426681e4964e5ea4bf,OS X WebSockets
a35c1457421bcfaf5edaccb910bfea1d,OpenConnect version v7.01
07aa6d7cac645c8845d6e96503f7d985,OpenConnect version v7.06 / wget 1.17.1-1 (cygwin)
0e0b798d0208ad365eec733b29da92a6,OpenSSL s_client (tested: 1.0.1f - Ubuntu 14.04TS)
4e6f7f036fb2b05a50ee8a686b1176a6,Opera 10.53  10.60  11.61  11.64  12.02
ceee08c3603b53be80c8afdc98babdd6,Opera 11.11  11.52
561271bdcbfe68504ce78b38c957eef0,Opera 12.14 - 12.16
8b475d6105c72827a234fbd47e25b0a3,Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60
44f37c3ceccb551271bfe0ba6d39426c,Opera/9.80 Presto/2.10.229 Version/11.62
a16170ff03466c8ee703dd71feda9bfe,Opera/9.80 Presto/2.10.289 & Presto/2.10.229
b237ac4bcc16c142168df03a871677bd,Opera/9.80 Presto/2.10.289 Version/12.00
07715901e2c6fe4c45e7c42587847d5d,Opera/9.80 Presto/2.12.388
329ff4616732b84de926caa7fd6777b0,Opera/9.80 Presto/2.12.388
53eb89fe6147474039c1162e4d9d3dc0,Outlook 2007 (Win 8.1)
b74f9ecf158e0575101c16c5265a85b0,Pidgin (tested 2.10.11)
6ea7cfa450ce959818178b420f59fec4,Pocket/Slack/Duo (Android)
9e41b6bf545347abccf0dc8fd76083a5,Polycom IP Phone Directory Lookup
26fa3da4032424ab61dc9be62c8e3ed0,Postfix with StartTLS
561271bdcbfe68504ce78b38c957eef0,Presto 2.12.388
4e6f7f036fb2b05a50ee8a686b1176a6,Presto 2.5.24  2.6.30  2.10.229  2.10.289
ceee08c3603b53be80c8afdc98babdd6,Presto 2.8.131  2.9.168
ef48bf8b2ccaab35642fd0a9f1bbe831,PubNub data stream #1 & Apteligent
8cc24a6ff485c62e3eb213d2ca61cf12,PubNub data stream #2
12ad03cb3faa2748e92c9a38faab949f,Pusherapp API
c398c55518355639c5a866c15784f969,Python Requests Library 2.4.3
c22dea495cef869edbeb3458adaf497f,Rapid7 Nexpose
4b06b445e3e12cdae777cec815ab90f5,Reported as -
90f755509cba37094eb66be02335b932,RingCentral App (unknown platform) #2
7743db23afb26f18d632420e6c36e076,RingCentral App (unknown platform)
24339ea346521d98a8c50fd3713090c9,SSLPing Scanner 1
ad5d6f490f3819dc60b2a2fbe5bd1cba,SSLPing Scanner 2
1e9557c377f8ff50b80b7f87b60b1054,SSLPing Scanner 3
c3c59ec21835721c92571e7742fadb88,SSLPing Scanner 4
cbcd1d81f242de31fd683d5acbc70dca,Safari 525 - 533  534.57.2
cbcd1d81f242de31fd683d5acbc70dca,Safari 525.21  525.29  531.22.7  533.21.1  534.57.2 / Adobe Reader DC 15.x Updater
30701f5050d504c31805594fb5c083b8,Safari 534.34
4c551900711d12c864cfe2f95e1c98c2,Safari 534.34
41ba55231de6643721fbe2ae25fab85d,Safari 534.34
fb1d89e16f4dd558ad99011070785cce,Safari 534.59.8
e2a482fbb281f7662f12ff6cc871cfe7,Safari 536.30.1
cc5925c4720edb550491a12a35c15d4d,Safari 537.71
88770e3ad9e9d85b2e463be2b5c5a026,Safari 537.78.2
77310efe11f1943306ee317cf02150b7,Safari/534.57.2
41ba55231de6643721fbe2ae25fab85d,Safari/537.21
fa8b8ed07b1dd0e4a262bd44d31251ec,ShadowServer Scanner 1
c05809230e9f7a6bf627a48b72dc4e1c,ShadowServer Scanner 2
0ad94fcb7d3a2c56679fbd004f6b12cd,ShadowServer Scanner 3
0b63812a99e66c82a20d30c3b9ba6e06,Shodan
f59a024cf47fdb835053ebf144189a47,Shodan
0b63812a99e66c82a20d30c3b9ba6e06,Shodan
302579fd4ba13eca27932664f66725ad,Shodan
109dbd9238634b21363c3d62793c029c,Shodan
0add6ceb611a7613f97329af3b6828d9,Shodan
3fcc12d9ee1f75a0212d1d16f7b9f8ad,Shodan
badc09d74edf43c0204c4827a038c2fa,Shodan
f8f522671d2d2eba5803e6c002760c05,Shodan
9d5869f950eeca2e39196c61fdf510c8,Shodan
11e49581344c117df2c9ceb46e5594c4,Shodan
7dde4e4f0dceb29f711fb34b4bdbf420,Signal (tested: 3.16.0 - Android)
07931ada5b9dd93ec706e772ee60782d,Signal Chrome App
cfb6d1c72d09d4eaa4c7d2c0b1ecbce7,SkipFish (tested: v2.10b kali)
7a75198d3e18354a6763860d331ff46a,Skype (additional Win 10)
06207a1730b5deeb207b0556e102ded2,Skype (multiple platforms)
5ef08bc989a9fcc18d5011f07d953c14,Skype (tested 7.18(341) on OSX)
c8ada45922a3e7857e4bfd4fc13e8f64,Slack Desktop App
3d72e4827837391cd5b6f5c6b2d5b1e1,Slack
22cca8ed59288f4984724f0ee03484ea,Slackbot Link Expander
f51156bcd5033603e750c8bd4db254e3,SpiderOak (tested: 6.0.1)
cab4a6a0c7ac91c2bd9e93cb0507ad4e,Synology DDNS Beacon
24993abb75ddda7eaf0709395e47ab4e,Tenable Passive Vulnerability Scanner Plugin Updater
74927e242d6c3febf8cb9cab10a7f889,Test FP: Dridex Malware
f3603b5b21cdb30f2a089b78fc2dde0d,Test FP: Nuclear Exploit Kit
4d7a28d6f2263ed61de88ca66eb011e3,Test FP: Nuclear Exploit Kit
38aea89b122f799954cf3f4e8878498b,Test FP: Tweetdeck maybe Webkit
97d3b9036d5a4d7f1fe33fe730f38231,TextSecure Name Lookup (Tested: Android)
207409c2b30e670ca50e1eac016a4831,ThunderBird (v17.0 OS X)
4623da8b4586a8a4b86e31d689aa0c15,ThunderBird (v38.0.1 OS X)
6fd163150b060dd7d07add280f42f4ed,ThunderBird (v38.0.1 OS X)
4623da8b4586a8a4b86e31d689aa0c15,Thunderbird 38.7.0 (openSUSE Leap 42.1)
0ed768d6e3bc66af60d31315afd423f2,Tor Browser (tested: 5.0.1f - May clash with FF38)
8c9a7fe81ba61dab1454e08f42f0a004,Tor Browser (v4.5.3 OS X - based on FF 31.8.0)
5b3eee2766b876e623ba05508d269830,Tor Relay Traffic (tested 0.2.7.6)
79f0842a32b359d1b683c569bd07f23b,Tor Relay Traffic (tested 0.2.7.6)
79f0842a32b359d1b683c569bd07f23b,Tor Uplink (via Tails distro)
659007d8bae74d1053f6ca4a329d25a7,Tor uplink (tested: 0.2.6.10)
bc329d2a71e749067424502f1f72e13a,Tracking something (noted with Dropbox Installer & Skype - Win 10)
aea96546ac042f29fed1e2203a9b4c3f,Trident/7.0
2a458dd9c65afbcf591cd8c2a194b804,Trident/7.0
9a1c3fed39b016b8d81cc77dae70f60f,UMich Scanner (can use: zgrab)
0e580f864235348848418123f96bbaa0,UMich Scanner (can use: zgrab)
dc76bc3a4e3bc38939dfd90d8b7214b7,UMich Scanner (can use: zgrab)
f6bae8bacf93b5e97e80b594ffeba859,UNVERIFIED: May be BlueCoat proxy
b9b4d1f7283b5ddc59d0b8d15e386106,Ubuntu Software Center
633e9558d4b25b46e8b1c49e10faaff4,Ubuntu Software Center
ac206b75530d569a0a64cec378eb4b66,Ubuntu Web Socket #1
94feb9008aeb393e76bac31b30af6ad0,Ubuntu Web Socket #2
f1b7bbeb8b79cecd728c72bba350d173,Ubuntu Web Socket #3
3f00755c412442e642f5572ed4f2eaf2,Ubuntu Web Socket #4
90f6c4b0577fb24a31bea0acc1fcc27d,Unidentified attack tool
26cdef14ec70c2d6ebd943fe8069c4da,Unknown SMTP Server (used by Facebook)
23a9b0eb3584e358816a123c208a2c8b,Unknown SMTP server (207.46.100.103)
18e9afaf91db6f8a2470e7435c2a1d6b,Unknown TLS Scanner
4392ae644e5a440b3b5f84b490893589,Unknown: 192.168.1.23:53352 -> 95.85.50.201:443
7bc3475b771c44c764614397da069d28,Unknown: BrowserStack timeframe SMTP STARTLS
335ec05b3ddb3800a8df47641c2d8e33,Unknown: Something on Android that talks to Google Analytics.. help
81fb3e51bf3f18c5755146c28d07431b,VLC
cff90930827e8b0f4e5a6fcc17319954,VMWare Fusion / Workstation / Player Update Check 8.x-12.x
48e69b57de145720885af2894f2ab9e7,VMware vSphere Client (Tested v4.1.0)
2d96ffb535c7c7a30cad924b9b9f2b52,Valve Steam Client #1
ab1fa6468096ab057291aa381d5de2b7,Valve Steam Client #2
41e3681b7c8c915e33b1f80d275c19d5,VirtualBox Update Poll (tested 5.0.8 r103449)
4c8ff2ddb1890482e5989b80e48b54d4,WPScan (tested: 2.9 Kali)
0172e9e41a8940e6a809967e4835214a,Web
58d97971a14d0520c5c56caa75470948,WebKit per Safari 9.0.1 (11601.2.7.2)
9ef7a86952e78eeb83590ff4d82a5538,WebKit per Safari 9.0.1 (11601.2.7.2)
8e1172bd5dcc4698928c7eb454a2c3de,WeeChat
444434ebe3f52b8453c3803bff077ebd,Wii-U
c8d1364bba308db5a4a20c65c58ffde1,Win default thing a la webkit
aee020803d10a4d39072817184c8eedc,Windows 10 Native Connection
205200cdaac61b110838556b834070d1,Windows 10 WebSockets (inc Edge) #1
5a0fa8873e5ffe7d9385647adc8912d7,Windows 10 WebSockets (inc Edge) #2
a7b2f0639f58f97aec151e015be1f684,Windows 8.x Apps Store thing (unconfirmed)
0d15924fe8f8950a3ec3a916e97c8498,Windows 8.x Builtin Mail Client
a8ee937cf82bb0972fecc23d63c9cd82,Windows 8.x TLS Socket
4025f224557638ee81afc4f272fd7577,Windows Diagnostic and Telemetry (also Security Essentials and Microsoft Defender) (Tested Win7)
2db6873021f2a95daa7de0d93a1d1bf2,Windows Java Plugin (tested: v8 Update 60)
de364c46b0dfc283b5e38c79ceae3f8f,Yahoo! Slurp Indexer
1202a58b454f54a47d2c216567ebd4fb,Yahoo! Slurp Indexer
d83881675de3f6aacbcc0b2bae6f8923,Yandex Bot
